CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
LGJ,Loughborough Junction Rail Station,531925,175855,2,TQ3192575855,51.466296,-0.10218208
LHE,Loch Eil Outward Bound Rail Station,205500,778300,1,NN0550078300,56.855266,-5.1915764
LCL,Lochailort Rail Station,176900,782600,1,NM7690082600,56.880962,-5.6633948
LIC,Lichfield City Rail Station,411900,309175,4,SK1190009175,52.680145,-1.8254197
LCS,Locheilside Rail Station,199500,778600,1,NM9950078600,56.855406,-5.2900363
LCG,Lochgelly Rail Station,318500,694400,1,NT1850094400,56.135328,-3.3129397
LCC,Lochluichart Rail Station,232335,862562,2,NH3233562562,57.621756,-4.8090487
LIF,Lichfield Trent Valley High Level Rail Station,413600,309930,2,SK1360009930,52.686892,-1.8002437
LTV,Lichfield Trent Valley Rail Station,413601,309930,2,SK1360109930,52.686892,-1.8002289
LHW,Lochwinnoch Rail Station,236060,657970,1,NS3606057970,55.787154,-4.6160752
LOC,Lockerbie Rail Station,313780,581800,3,NY1378081800,55.123052,-3.3535328
LED,Ledbury Rail Station,370890,238625,4,SO7089038625,52.045249,-2.4258603
LID,Lidlington Rail Station,498936,239106,1,SP9893639106,52.041535,-0.55892838
LAD,Ladywell Rail Station,537730,174890,1,TQ3773074890,51.456243,-0.019040691
LEA,Leagrave Rail Station,506145,224080,1,TL0614524080,51.905157,-0.45850264
